name,rejected_on,fail_reason
AlphaFguo20260603LLM007,2026-06-09,20150710: 总持股数量 70 只 (多头 36 + 空头 34) 少于 100 只
AlphaFguo20260607GA001,2026-06-09,20181213: 空头持股数量 44 只少于 50 只
AlphaFguo20260607GA002,2026-06-09,20181220: 空头持股数量 44 只少于 50 只
AlphaHwangF445Fb060521141559046284,2026-06-26,20160106: 空头持股数量 5 只少于 50 只
AlphaHwangF445Fb060522385533c6e573,2026-06-26,20210111: 个股最大持仓 6.26% 超过 5.0%
AlphaHwangF445Fb060814045362c3a99e,2026-06-26,20150107: 个股最大持仓 8.44% 超过 5.0%
AlphaHwangF445Fb06091305241924e9b0,2026-06-26,20150105: 空头持股数量 7 只少于 50 只
AlphaLhwF445Dr038d3d7da4bfe9a,2026-06-09,20150710: 个股最大持仓 6.21% 超过 5.0%
AlphaXmf5mVolumeQ25MeanZW60Bar42M,2026-07-02,20150107: 个股最大持仓 5.04% 超过 5.0%
AlphaXmfRpt0443InvBreakoutD3IndCap,2026-07-02,20150731: 个股最大持仓 5.25% 超过 5.0%
AlphaXmfRpt0443StableSyncFollowResidW30F5D6CapIndD1Long,2026-07-02,20160122: 个股最大持仓 5.04% 超过 5.0%
AlphaXmfRpt0443W12ImpactAbsorbFollowW40F8D8CapIndD1Long,2026-07-02,20180627: 个股最大持仓 6.99% 超过 5.0%
AlphaXmfRpt0445W14FqRepairL35P8D5Ind,2026-07-02,20150708: 总持股数量 51 只 (多头 23 + 空头 28) 少于 100 只
AlphaXmfRpt0450TrendMa60Pullback20D5IndCap,2026-07-02,20150803: 总持股数量 99 只 (多头 50 + 空头 49) 少于 100 只
AlphaXmfRpt0462BreakdownVolConfirmW80S10D10Ind,2026-07-02,20160308: 多头持股数量 47 只少于 50 只
AlphaXmfRpt0462CrowdingUnwindOrthExtremesW120S10D10Ind,2026-07-02,20151015: 总持股数量 99 只 (多头 53 + 空头 46) 少于 100 只
AlphaXmfRpt0462W2OverboughtRsi14Rel60D12Ind,2026-07-02,20150813: 多头持股数量 48 只少于 50 只
AlphaXmfRpt0524W17FragileAuctionFade45A20S8D8IndD1Long,2026-07-02,20160311: 个股最大持仓 5.13% 超过 5.0%
AlphaXmfRpt1270LowLiqD5Ind,2026-07-10,窗口内 691/762 天违规: 20221125: 多头持股数量 48 只少于 50 只; 20221128: 多头持股数量 47 只少于 50 只; 20221129: 多头持股数量 46 只少于 50 只; 20221130: 总持股数量 99 只 (多头 48 + 空头 51) 少于 100 只; 20221130: 多头持股数量 48 只少于 50 只; 20221201: 总持股数量 95 只 (多头 45 + 空头 50) 少于 100 只; 20221201: 多头持股数量 45 只少于 50 只; 20221202: 总持股数量 95 只 (多头 44 + 空头 51) 少于 100 只; 20221202: 多头持股数量 44 只少于 50 只; 20221205: 总持股数量 93 只 (多头 44 + 空头 49) 少于 100 只 (另有 2351 项)
AlphaXmfRpt1400OverheatTailRev21D8CapInd,2026-07-02,20160113: 个股最大持仓 5.70% 超过 5.0%
AlphaZxu_260420_TailNetBuyRev,2026-06-05,20150211: 个股最大持仓 5.65% 超过 5.0%
AlphaZxu_260506_PriceWeightedPressure,2026-06-05,20150707: 总持股数量 82 只 (多头 48 + 空头 34) 少于 100 只
